--- Total number of tweets in 1440 minutes: 534408 --- 
17064: #FF
7271: #gameinsight
6589: #PeoplesChoice
4775: #TeamFollowBack
4433: #RT
3692: #androidgames
3522: #TFBJP
3510: #MessageToMyEx
3456: #ff
3370: #android
3285: #RemajaIndonesiaBio
2766: #IHaveACrushOn
2610: #tbt
2562: #ipadgames
2423: #ipad
2255: #beek_live
2025: #musicfans
2016: #oomf
1888: #TEAMFOLLOWBACK
1795: #np
1689: #popartist
1645: #F4F
1640: #peopleschoice
1636: #sougofollow
1502: #90sBabyFollowTrain
1456: #followme
1450: #breakoutartist
1448: #SOUGOFOLLOW
1312: #TFB
1306: #TuitUtil
1304: #nowplaying
1156: #SiElMundoSeTerminaQuiero
1105: #OpenFollow
1100: #FollowBack
1046: #InstantFollowBack
1045: #iphone
1039: #iphonegames
1035: #NP
1009: #dramatictvactor
1005: #followmejp
993: #Android
985: #followback
984: #Scandal
938: #teamfollowback
917: #OPENFOLLOW
907: #OmSpikPickone
883: #celebrityjudge
856: #JJ
796: #rt
786: #MeCausaRechazo
765: #love
760: #GetGlue
747: #NowPlaying
742: #MenggapaiMimpi
732: #dramatictvactress
722: #LSTevivoAguadeCheiro
697: #news
687: #Aries
680: #countkun
669: #follow
667: #TeamAutoFollow
666: #PrayForJapan
664: #Follow
660: #musicvideo
658: #HitFollowsTeam
656: #album
642: #ReplaceLyricsWithTwerk
637: #fb
630: #8MonthsWithEXO
629: #500aDay
624: #FollowFriday
621: #xfactor
612: #maleartist
607: #Sagittarius
606: #TGIF
601: #Gemini
589: #AutoFollowBack
588: #Leo
580: #StarAc
576: #Taurus
570: #Scorpio
568: #Capricorn
563: #Knicks
551: #Libra
543: #Pisces
520: #mustfollow
519: #PondreUnaVelitaPor
517: #FOLLOWBACK
515: #Enjoy
505: #crimedrama
498: #XF6
498: #In2013YouBetterNot
494: #RETWEET
491: #win
486: #jobs
484: #Oomf
480: #openfollow
480: #Christmas
477: #500ADAY
477: #TeamFollowWack
467: #lol
465: #christmas
464: #job
461: #nw
457: #TVD
455: #TBT
449: #Aquarius
445: #OmSpikPengenTauDong
438: #Retweet
433: #7D
431: #tcot
430: #tvoh
429: #music
427: #VolvamosA
424: #Virgo
423: #LT
414: #BadDecision
411: #nhk_news
408: #Cancer
404: #News
401: #sorrynotsorry
398: #AUTOFOLLOW
396: #FOLLOW
396: #Egypt
396: #In2013
394: #iPad
394: #KamusCewek
391: #FollowBackSeguro
390: #NF
387: #Skipfollowme
385: #Bahrain
381: #Syria
374: #sales
372: #Huevo
362: #scandal
362: #ApellidosFeos
361: #AutoFollow
359: #pussy
353: #1000ADAY
352: #me
346: #jishin
345: #throwbackthursday
340: #scifishow
333: #muchlove
332: #MentionTo
330: #tvfans
330: #webcamtoy
328: #glee
326: #HDYF
324: #allkpopawards
324: #cute
322: #euqueria
318: #rageofbahamut
317: #bahrain
317: #jingleball
315: #R_Family
314: #teamautofollow
310: #Hot30Countdown
309: #1000aDay
309: #truth
306: #addseguidores
305: #skipfollowme
303: #autofollow
302: #iPhone
300: #excited
298: #Quran
296: #winning
296: #Androidgames
296: #Gameinsight
296: #bukuakujujur
294: #31millionBeliebers
291: #LRT
290: #TeamJozan
289: #10CoisasQueJamaisVouEsquecer
286: #Np
284: #quote
284: #WhoShotFitz
281: #JB12Boston
280: #fml
280: #IFollowBack
279: #NHL
275: #ass
273: #soundcloud
271: #LoveInParis
270: #TVOH
269: #takipedenitakipederim
268: #Glee
267: #instagram
266: #happy
266: #SmurfsVillage
265: #FollowMeLittleMix
264: #FollowNGain
264: #eh
262: #1Dsport
262: #TEAMFOLLOWWACK
260: #giveaway
258: #wtf
258: #QuieroConfesarlesQue
257: #Mustfollow
256: #loveyou
254: #LouisAndBoris
252: #withdankanter
252: #instantfollowback
252: #SamuraiEmpire
252: #PioneerDay
249: #Spotify
248: #TheRave
247: #video
243: #SIGUEMEYTESIGO
243: #FollowMe
241: #Amazon
241: #QueremosKatyNoRockInRio2013
241: #Jobs
239: #gifboom
237: #AntesDoFimDoMundoEu
236: #bot
235: #PearlHarbor
234: #TodosSomosPresos
233: #500aday
233: #AvrilLavigneNoRockInRio2013
231: #porn
231: #WeWillMissCeCe
230: #AKB48
230: #SiPudieraRegresarElTiempo
230: #jfb
230: #earthquake
229: #EpicEuroclub
228: #CiteAlgoMelhorQue1D
228: #song
228: #LOL
227: #sneeuw
227: #GameInsight
226: #INSTANTFOLLOW
225: #autofollowback
225: #SougoFollow
223: #jojo_anime
220: #instagood
220: #500Aday
220: #ChattingYMnow
219: #1DNews
219: #moviefans
219: #friends
218: #loveit
218: #tired
218: #FOLLOWNGAIN
217: #followall
216: #faiunadomandaalpapa
216: #FB
215: #retweet
214: #NosTemposDeOrkut
214: #ZAYNFOLLOWSPREE
213: #bored
213: #fail
212: #FabFridayTM
212: #magnhk
211: #bbcqt
211: #CFC
210: #TeamCeCe
209: #500ADay
209: #smh
209: #followdaibosyu
207: #xf6
204: #TweetLikeYourCoach
203: #sex
203: #Win
203: #DecemberWish
203: #2PMeisBACK
202: #New
202: #T
201: #ksa
200: #XFactor
200: #Followers
199: #LadyGagaNoRockInRio2013
199: #Love
198: #BigFollow
198: #sexy
198: #2ch
197: #nhk
197: #snow
196: #art
196: #nf
195: #NocheDeConfesiones
195: #NFL
195: #SoundCloud
194: #fact
193: #AUTOFOLLOWBACK
193: #photography
192: #hot30countdown
191: #Album
190: #NBA
189: #AutoFol
188: #fashion
188: #life
187: #free
187: #refollow
186: #bongoconvo
185: #imagine
185: #youtube
184: #HowToReplyToILoveYou
184: #KohLanta
184: #JOZAN
183: #goodnight
182: #GoTeamMsia
182: #SiguemeYTeSigo
182: #yolo
181: #blessed
181: #nuitinfo
181: #iPadGames
179: #AskScandal
179: #tipssad
179: #SocialMedia
179: #followmeskip
179: #beautiful
178: #SamuraiEmpireKR
178: #goen
178: #I
177: #winter
175: #saigai
175: #Retweets
175: #Job
175: #mtvbestof2012janoskians
175: #SeriusNanya
174: #justsaying
174: #DiBaleNang
174: #F
173: #not
173: #Favorites
173: #booty
172: #TeamFollowWacky
171: #Followback
171: #quotes
171: #Sougofollow
171: #Rt
171: #MeQuieroGanarEseSIII
170: #awkward
170: #tgif
170: #Smurfette
170: #fun
170: #marketing
170: #follow4follow
170: #tw3ds
170: #USA
169: #TheStruggle
169: #finals
168: #Heat
168: #JFB
167: #farmville
167: #Mistletoe
167: #repost
166: #swag
166: #NW
165: #fuck
165: #please
165: #FF_Special
165: #SiguemeyTeSigo
164: #WIN
164: #Broncos
164: #esaszorolan
164: #cantwait
164: #finally
163: #followmeJP
163: #loveher
161: #awesome
161: #JINGLEBALL
161: #Shoutout
161: #agqr
160: #food
160: #ledirectionersdominanotwitter
160: #yay
159: #FREE
159: #CJRTERHEBAT
159: #Nusukkk
158: #xxx
158: #SFF
158: #egypt
157: #BienvenidoComandante
157: #Virgos
156: #AndroidGames
156: #family
155: #VierraForLife
155: #LETSGOHEAT
155: #OFF
154: #ugh
154: #ohwell
153: #business
153: #off
153: #starac
152: #MUSTFOLLOW
152: #RihannaComeToTurkey
151: #girl
150: #friday
150: #subtweet
149: #El7DEsMenosCreible
149: #bestfriend
149: #tvasahi
149: #throwback
149: #p2
149: #bypokevega
148: #NowFollowing
148: #xmas
148: #Giveaway
147: #DB
147: #followfriday
146: #CreativeDisc1DCDQuiz
145: #realtalk
143: #Jozan
143: #sougo
143: #JB12BOSTON
143: #no
142: #tsunami
142: #amazing
142: #Sigue
141: #help
141: #funny
140: #SCANDAL
139: #1DFacts
139: #biriolsada
139: #travel
139: #menggapaimimpi
139: #TurnUp
138: #Super7CetarMembahana
138: #Chau7D
137: #yum
137: #TFW
137: #photo
136: #Truth
136: #oops
136: #kuwait
136: #saudi
136: #UneVraieFemme
135: #elf
135: #Twitter
135: #INSTANTFOLLOWBACK
135: #Morsi
134: #WOWdevilBesideYou
134: #annoying
134: #socialmedia
134: #respect
134: #dead
134: #HeatNation
134: #9gagtweets
134: #sorry
133: #in
133: #laurenfollowspree
132: #Friday
132: #knicks
132: #InstantFollow
132: #Tbt
131: #pandora
131: #TwitterOff
131: #MansionElan
130: #memories
130: #tvd
130: #picstitch
130: #homegrown
130: #Warrior
130: #SorryNotSorry
130: #MiVotoEsPaReyes
130: #Raiders
130: #aboliamoledirectionerdatwitter
130: #Hadith
129: #PatatiEPatataNoRockInRio2013
129: #SiguemeYteSigo
129: #virgo
129: #Cuba
128: #viral
128: #FAZFGulen
128: #autofollowjp
128: #Off
127: #EsTiempoDeCreer
127: #true
127: #FollowArmaun
127: #haha
127: #MustFollow
127: #wow
127: #party
127: #weekend
126: #HappyFriday
126: #ifollownGain
126: #classic
126: #niconews
125: #pixiv
125: #BayanTripleri
125: #foreveralone
125: #jugem_blog
124: #ReplaceMovieWithDurian
124: #sadtweet
124: #cool
123: #AMiTambienMeCastigaronPor
123: #sad
123: #RIP
122: #ILOVEYOUFOREVER
122: #FriskyFriday
122: #DK
121: #YOLO
121: #missyou
121: #twitter
121: #Hechos29
121: #instamood
121: #JulianSerranoMe
121: #smile
120: #Facebook
120: #SO
120: #OseaMaricaRelajateYPonteAVenderCocadas
120: #photooftheday
119: #MaisFollowers
119: #SHOUTOUT
119: #nofilter
119: #FFback
119: #work
119: #lejuventinedominanotwitter
119: #TF
118: #CSRRacing
118: #MeSiguesTeSigo
118: #Autofollow
117: #MatateNoMerecesVivir
117: #Imagine
117: #OCTMS
116: #AileceSeverekTakipEdiyoruz
116: #PartileSaJeta
116: #FalloVergonzoso
116: #thanks
116: #school
115: #Peopleschoice
115: #perfect
114: #F_F_O_L_L_O_W__F_R_I_D_A_Y
114: #rufollowback
114: #FreeTicket2PMJKT
113: #pickone
113: #BestFeelingsWhen
113: #Pakistan
112: #ONLINE
112: #SMAP
112: #BELIEVEinReading
112: #HIV
112: #PersijaDay
111: #weird
111: #shoutout
111: #IFOLLOWALL
111: #pioneerday
111: #BL
111: #TEAMFOLLOWWACKY
111: #ALearnerIsSomebody
110: #baby
110: #crazy
110: #RiseOfLILKEIS
110: #iloveyou
110: #shopping
110: #loveinparis
109: #bandapp
109: #thestruggle
109: #tech
109: #RebeldesNoRockInRio2013
109: #1D
109: #NFB
109: #ON
108: #ouch
108: #Japan
108: #bestfriends
108: #HJ
108: #teenagersfact
108: #GreysAnatomy
108: #BelgiumTakes1DHome
108: #bye
107: #Fact
107: #pesadillacocina7
107: #SiFueraInvisibleLoPrimeroQueHagoEs
106: #Teamfollowback
106: #incipastanesi
106: #AlwaysFollowBack
106: #bonvallet
106: #PopArtist
106: #Vertigo
106: #tits
106: #competition
106: #F_O_L_L_O_W__F_R_A_I_D_A_Y
106: #annoyed
106: #boobs
106: #NontonANTV2130PM
106: #MiddleEastNeeds1DTour
106: #NYC
106: #dying
106: #SusunKata
106: #TheNextBigThing
106: #RU_FF
106: #Google
105: #MustFol
105: #design
105: #PartyHeroes
104: #cat
104: #following
104: #LINE
104: #SigoImediatamente
104: #14feb
104: #askharry
103: #r
103: #Bancodeseguidores
103: #Fifa13
102: #TipicoDeGordos
102: #femaleartist
102: #MrkNoTeArrechesYPonteAVenderNestea
102: #FML
102: #lovehim
102: #Blessed
102: #confused
102: #Iran
101: #BlowATL
101: #hot
101: #INFO
101: #cancer
101: #MeArdoComoAMLO
101: #omg
101: #FFBack
101: #gay
101: #WTF
100: #yes
100: #apple
100: #femalepains
100: #random
99: #MustFoll
99: #like
99: #yummy
99: #cold
99: #PickMeEllen
99: #neige
98: #TeamHeat
98: #DIVANET
98: #hair
98: #damn
98: #lt
98: #bitch
97: #ThrowbackThursday
97: #goodtimes
97: #Seguidores
97: #realmadrid
97: #KnicksTape
97: #MusicFans
97: #EuQueria
96: #MUFC
96: #what
96: #Follow4Follow
96: #BEASTMODE
96: #OOMF
95: #football
95: #FollowMeGO
95: #E
95: #10IdolosDelFutbol
95: #MANOLOGY
95: #iconDecotter
95: #BiebsMeetAly
95: #MT2
95: #RealTalk
94: #anime
94: #night
94: #LFC
94: #PFB
94: #TwOff
94: #prayforjapan
94: #ehh
94: #AlvinEOsEsquilosNoRockInRio2013
93: #TNF
93: #tlot
93: #truestory
93: #whoshotfitz
93: #why
93: #syria
93: #StayCeCe
93: #fuckyou
92: #Touro
92: #pad
92: #MileyCyrusNoRockInRio2013
92: #vertigo
91: #IFOLLOWBACK
91: #seriously
91: #UnVerdaderoVillano
91: #ShoutOut
90: #F_O_L_L_O_W_F_R_I_D_A_Y
